tree_id,node_id,node_type,parent_id,semantic_role,status,semantic_authority,implementation_anchor,ui_payload,geometry_status,expansion_status,adjacency_status,connection_status,camera_status,turn_loop_status,notes
TREE-DOMAIN,TREE-DOMAIN,tree,,Account > Workplace > Project > Seat,INCOMPLETE,TeamAi durable domain model,docs/TEAMAI_PROJECT_WIDE_CENSUS.md,domain presentation payload,pending,pending,pending,pending,pending,pending,Renderer is presentation only; durable authority stays outside the Hero.
TREE-DOMAIN,DOMAIN-ACCOUNT,node,TREE-DOMAIN,Account root,SEMANTIC_ONLY,domain authority,domain contract / current model,account identity surface,unresolved,pending,pending,pending,pending,pending,No complete Hero geometry/runtime proof yet.
TREE-DOMAIN,DOMAIN-WORKPLACE,node,TREE-DOMAIN,Workplace,SEMANTIC_ONLY,domain authority,domain contract / current model,workplace selection surface,unresolved,pending,pending,pending,pending,pending,No complete Hero geometry/runtime proof yet.
TREE-DOMAIN,DOMAIN-PROJECT,node,TREE-DOMAIN,Project,SEMANTIC_ONLY,domain authority,domain contract / current model,project selection surface,unresolved,pending,pending,pending,pending,pending,No complete Hero geometry/runtime proof yet.
TREE-DOMAIN,DOMAIN-SEAT,node,TREE-DOMAIN,Seat / AI-team participant,SEMANTIC_ONLY,domain authority,domain contract / current model,seat identity/configuration surface,unresolved,pending,pending,pending,pending,pending,The rendered Seat shell is a separate presentation hierarchy and does not prove complete domain-tree rendering.
TREE-HERO-SEAT,TREE-HERO-SEAT,tree,,Seat Shell > Connection > Behavior > Toolkit > Capabilities > Authorization > Workspace Scope > Task/Evidence,PARTIAL,Machine Interaction Contract / presentation,public/hero-hierarchy-runtime.js;public/hero-seat-branch-walk.js;public/hero-seat-stack.js;public/hero-flex.js,current Seat configuration payload,payload-driven,partial,pending,pending,partial,pending,Structural Seat hierarchy retained; configuration facets map onto these branches; global turn policy belongs to TREE-ORCHESTRATION/scheduler; no second Seat hierarchy.
TREE-HERO-SEAT,SEAT_SHELL,node,TREE-HERO-SEAT,Seat shell parent,IMPLEMENTED_PARTIAL,Machine Interaction Contract,public/hero-seat-stack.js,seat identity/overview payload,payload-driven,partial,pending,pending,selected-seat dock baseline,pending,Open/close mechanism exists; provider/runtime/model are configuration facets; final machine expansion is not complete.
TREE-HERO-SEAT,SEAT_CONNECTION,node,SEAT_SHELL,Connection / provider health,IMPLEMENTED_PARTIAL,Machine Interaction Contract,public/hero-hierarchy-runtime.js;public/hero-flex.js;public/hero-seat-branch-walk.js;public/hero-cam2-tree-follow.js;public/hero-connection-vertical.js,fixture provider/health/test payload + CONNECTION_PAYLOAD_V1,payload-driven,partial,pending,fixture-edge,branch-subject-partial,pending,Current v1 child mechanism exists; live frontend lifecycle and real machine connection topology are not complete. P1 vertical: CONNECTION_PAYLOAD_V1 + CONNECTION_EDGES_V1 fixture edge; connectionExpanded dataset; camera subject prefers DETAIL when amount>=0.85.
TREE-HERO-SEAT,SEAT_BEHAVIOR,node,SEAT_SHELL,Seat-local behavior/defaults and constraints,IMPLEMENTED_PARTIAL,Machine Interaction Contract,public/hero-seat-branch-walk.js,seat-local behavior payload,payload-driven,partial,pending,pending,branch subject,pending,Does not own global turn policy; global participating Seats/actions-per-turn/order/stop conditions belong to TREE-ORCHESTRATION/scheduler.
TREE-HERO-SEAT,SEAT_TOOLKIT,node,SEAT_SHELL,Toolkit / resolved TeamAi common skill bundle presentation,IMPLEMENTED_PARTIAL,Machine Interaction Contract + Skill/Responsibility contracts,public/hero-seat-branch-walk.js,common-skill/resolved-skill/toolkit payload,payload-driven,partial,pending,pending,branch subject,pending,TEAMAI COMMON SKILL / Universal ToolKit definitions remain shared; Seat count changes allocation/resolution, not skill definitions; user skill editing flow is not implementation-complete.
TREE-HERO-SEAT,SEAT_CAPABILITIES,node,SEAT_SHELL,Capabilities,IMPLEMENTED_PARTIAL,Machine Interaction Contract,public/hero-flex.js,capability/tool/plugin/MCP/model-runtime payload,payload-driven,partial,pending,pending,branch subject,pending,Existing runtime face is not proof of complete capability machine.
